27 Apr 15:09:46,221 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:09:46,857 [main] INFO  TestBase  - Browser closed
27 Apr 15:11:40,099 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:11:40,101 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:11:44,221 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:11:45,095 [main] INFO  TestBase  - Browser closed
27 Apr 15:12:30,739 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:12:30,742 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:12:34,881 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:12:35,514 [main] INFO  TestBase  - Browser closed
27 Apr 15:13:31,403 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:13:31,405 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:13:35,602 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:13:36,241 [main] INFO  TestBase  - Browser closed
27 Apr 15:15:28,148 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:15:28,151 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:15:34,815 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:19:25,720 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:19:25,723 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:19:33,802 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:19:33,808 [main] INFO  TestBase  - BeforeClass
27 Apr 15:19:34,675 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:19:34,680 [main] INFO  TestBase  - AfterMethod
27 Apr 15:19:34,680 [main] INFO  TestBase  - AfterClass
27 Apr 15:19:34,697 [main] INFO  TestBase  - BeforeClass
27 Apr 15:19:34,697 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:19:34,698 [main] INFO  TestBase  - AfterMethod
27 Apr 15:19:34,699 [main] INFO  TestBase  - AfterClass
27 Apr 15:19:34,705 [main] INFO  TestBase  - BeforeClass
27 Apr 15:19:34,706 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:19:34,708 [main] INFO  TestBase  - AfterMethod
27 Apr 15:19:34,709 [main] INFO  TestBase  - AfterClass
27 Apr 15:19:39,087 [main] INFO  TestBase  - Browser closed
27 Apr 15:23:25,476 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:23:25,479 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:23:29,473 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:23:29,479 [main] INFO  TestBase  - BeforeClass
27 Apr 15:23:29,485 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:23:29,491 [main] INFO  TestBase  - AfterMethod
27 Apr 15:23:29,492 [main] INFO  TestBase  - AfterClass
27 Apr 15:23:29,515 [main] INFO  TestBase  - BeforeClass
27 Apr 15:23:29,516 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:23:29,519 [main] INFO  TestBase  - AfterMethod
27 Apr 15:23:29,521 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:23:29,523 [main] INFO  TestBase  - AfterMethod
27 Apr 15:23:29,524 [main] INFO  TestBase  - AfterClass
27 Apr 15:23:29,529 [main] INFO  TestBase  - BeforeClass
27 Apr 15:23:29,530 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:23:29,532 [main] INFO  TestBase  - AfterMethod
27 Apr 15:23:29,532 [main] INFO  TestBase  - AfterClass
27 Apr 15:23:30,160 [main] INFO  TestBase  - Browser closed
27 Apr 15:26:11,013 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:26:11,016 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:26:15,099 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:26:15,102 [main] INFO  TestBase  - BeforeTest
27 Apr 15:26:15,107 [main] INFO  TestBase  - BeforeClass
27 Apr 15:26:15,111 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:26:15,116 [main] INFO  TestBase  - AfterMethod
27 Apr 15:26:15,120 [main] INFO  TestBase  - AfterClass
27 Apr 15:26:15,121 [main] INFO  TestBase  - AfterTest
27 Apr 15:26:15,140 [main] INFO  TestBase  - BeforeTest
27 Apr 15:26:15,141 [main] INFO  TestBase  - BeforeClass
27 Apr 15:26:15,143 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:26:15,145 [main] INFO  TestBase  - AfterMethod
27 Apr 15:26:15,146 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:26:15,148 [main] INFO  TestBase  - AfterMethod
27 Apr 15:26:15,149 [main] INFO  TestBase  - AfterClass
27 Apr 15:26:15,149 [main] INFO  TestBase  - AfterTest
27 Apr 15:26:15,155 [main] INFO  TestBase  - BeforeTest
27 Apr 15:26:15,156 [main] INFO  TestBase  - BeforeClass
27 Apr 15:26:15,156 [main] INFO  TestBase  - BeforeMethod
27 Apr 15:26:15,162 [main] INFO  TestBase  - AfterMethod
27 Apr 15:26:15,162 [main] INFO  TestBase  - AfterClass
27 Apr 15:26:15,163 [main] INFO  TestBase  - AfterTest
27 Apr 15:26:15,790 [main] INFO  TestBase  - Browser closed
27 Apr 15:35:26,371 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:35:26,373 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:35:26,384 [main] INFO  TestBase  - BeforeTest
27 Apr 15:35:26,397 [pool-1-thread-3] INFO  TestBase  - BeforeClass
27 Apr 15:35:26,397 [pool-1-thread-2] INFO  TestBase  - BeforeClass
27 Apr 15:35:26,397 [pool-1-thread-1] INFO  TestBase  - BeforeClass
27 Apr 15:35:26,400 [pool-1-thread-1] INFO  TestBase  - BeforeMethod
27 Apr 15:35:26,400 [pool-1-thread-3] INFO  TestBase  - BeforeMethod
27 Apr 15:35:26,400 [pool-1-thread-2] INFO  TestBase  - BeforeMethod
27 Apr 15:35:26,407 [pool-1-thread-2] INFO  TestBase  - AfterMethod
27 Apr 15:35:26,407 [pool-1-thread-2] INFO  TestBase  - AfterClass
27 Apr 15:35:26,407 [pool-1-thread-3] INFO  TestBase  - AfterMethod
27 Apr 15:35:26,408 [pool-1-thread-3] INFO  TestBase  - AfterClass
27 Apr 15:35:30,412 [pool-1-thread-1] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:35:30,413 [pool-1-thread-1] INFO  TestBase  - URL selected: http://www.rediffmail.com
27 Apr 15:36:01,903 [pool-1-thread-1] INFO  TestBase  - AfterMethod
27 Apr 15:36:01,904 [pool-1-thread-1] INFO  TestBase  - AfterClass
27 Apr 15:36:01,904 [main] INFO  TestBase  - AfterTest
27 Apr 15:36:01,922 [main] INFO  TestBase  - Browser closed
27 Apr 15:36:44,046 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:36:44,048 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 15:36:44,058 [main] INFO  TestBase  - BeforeTest
27 Apr 15:36:44,070 [pool-1-thread-2] INFO  TestBase  - BeforeClass
27 Apr 15:36:44,070 [pool-1-thread-1] INFO  TestBase  - BeforeClass
27 Apr 15:36:44,070 [pool-1-thread-3] INFO  TestBase  - BeforeClass
27 Apr 15:36:44,076 [pool-1-thread-1] INFO  TestBase  - BeforeMethod
27 Apr 15:36:44,076 [pool-1-thread-3] INFO  TestBase  - BeforeMethod
27 Apr 15:36:44,076 [pool-1-thread-2] INFO  TestBase  - BeforeMethod
27 Apr 15:36:44,083 [pool-1-thread-2] INFO  TestBase  - AfterMethod
27 Apr 15:36:44,083 [pool-1-thread-3] INFO  TestBase  - AfterMethod
27 Apr 15:36:44,083 [pool-1-thread-2] INFO  TestBase  - AfterClass
27 Apr 15:36:44,083 [pool-1-thread-3] INFO  TestBase  - AfterClass
27 Apr 15:36:48,051 [pool-1-thread-1] INFO  TestBase  - Chrome Driver is launched
27 Apr 15:36:48,051 [pool-1-thread-1] INFO  TestBase  - URL selected: http://www.seleniumhq.org
27 Apr 15:37:17,358 [pool-1-thread-1] INFO  TestBase  - AfterMethod
27 Apr 15:37:17,359 [pool-1-thread-1] INFO  TestBase  - AfterClass
27 Apr 15:37:17,361 [main] INFO  TestBase  - AfterTest
27 Apr 15:37:17,380 [main] INFO  TestBase  - Browser closed
